,No_Die,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Sum,Target
1247,NOLSM172710172,3,1,2,1,1,31211,97
1248,NOLSM6642516664,3,1,2,1,1,31211,279
1249,NOLSM4151610415,3,1,2,1,1,31211,61
1250,NOLSM243927,3,1,2,2,2,31222,223
1251,NOLSM2671024,3,1,2,2,2,31222,57
1252,NOLSM7422813,3,1,2,2,2,31222,117
1253,NOLSM21892,3,1,2,2,2,31222,115
1254,NOLSM4161611416,3,1,2,2,2,31222,118
1255,NOLSM4181613,3,1,2,2,2,31222,86
1256,NOLSM4191614419,3,1,2,2,2,31222,96
1257,NOLSM4221617422,3,1,2,2,2,31222,30
1258,NOLSM3701419,3,1,2,2,2,31222,76
1259,NOLSM7682912,3,1,2,2,2,31222,6
1260,NOLSM6912616,3,1,2,2,2,31222,186
1261,NOLSM490194,3,1,2,2,2,31222,117
1262,NOLSM179717179,3,1,2,2,2,31222,81
1263,NOLSM92411,3,1,2,2,2,31222,64
1264,NOLSM176714176,3,1,2,2,2,31222,112
1265,NOLSM541211,3,1,2,2,2,31222,120
1266,NOLSM5662126,3,1,2,2,2,31222,126
1267,NOLSM841324,3,1,2,2,2,31222,78
1268,NOLSM6672519,3,1,2,2,2,31222,246
1269,NOLSM516203,3,1,2,2,2,31222,93
1270,NOLSM173711173,3,1,2,2,2,31222,91
1271,NOLSM6652517665,3,1,2,2,2,31222,207
1272,NOLSM5922225,3,1,2,2,2,31222,114
1273,NOLSM44217,3,1,2,2,2,31222,97
1274,NOLSM16977,3,1,2,2,2,31222,112
1275,NOLSM6622514662,3,1,2,2,2,31222,195
1276,NOLSM465186,3,1,2,2,2,31222,33
1277,NOLSM817317,3,1,2,2,2,31222,30
1278,NOLSM14368,3,1,2,2,2,31222,94
1279,NOLSM3181221,3,1,2,2,2,31222,50
1280,NOLSM6182324,3,1,2,2,2,31222,75
1281,NOLSM6592511659,3,1,2,2,2,31222,336
1282,NOLSM11658,3,1,2,2,2,31222,79
1283,NOLSM19384,3,1,2,2,2,31222,106
1284,NOLSM19119,3,1,2,2,2,31222,95
1285,NOLSM6632515663,3,1,2,3,3,31233,204
1286,NOLSM4201615420,3,1,2,3,3,31233,54
1287,NOLSM180718180,3,1,2,3,3,31233,200
1288,NOLSM4171612417,3,1,2,3,3,31233,97
1289,NOLSM6602512660,3,1,2,3,3,31233,228
1290,NOLSM4231618423,3,1,2,3,3,31233,48
1291,NOLSM6662518666,3,1,2,3,3,31233,198
1292,NOLSM177715177,3,1,2,3,3,31233,92
1293,NOLSM174712174,3,1,2,3,3,31233,92
1294,NOLSM466187,3,1,3,1,1,31311,15
1295,NOLSM3191222,3,1,3,1,1,31311,83
1296,NOLSM184722184,3,1,3,1,1,31311,101
1297,NOLSM6192325,3,1,3,1,1,31311,225
1298,NOLSM21993,3,1,3,1,1,31311,137
1299,NOLSM4271622427,3,1,3,1,1,31311,259
1300,NOLSM2681025,3,1,3,1,1,31311,52
1301,NOLSM17078,3,1,3,1,1,31311,180
1302,NOLSM187725187,3,1,3,1,1,31311,66
1303,NOLSM4241619424,3,1,3,1,1,31311,15
1304,NOLSM6672519667,3,1,3,1,1,31311,246
1305,NOLSM7182716,3,1,3,1,1,31311,51
1306,NOLSM4301625430,3,1,3,1,1,31311,57
1307,NOLSM11759,3,1,3,1,1,31311,117
1308,NOLSM181719181,3,1,3,1,1,31311,136
1309,NOLSM6702522670,3,1,3,1,1,31311,156
1310,NOLSM5672127,3,1,3,1,1,31311,117
1311,NOLSM6682520,3,1,3,1,1,31311,165
1312,NOLSM4191614,3,1,3,1,1,31311,96
1313,NOLSM517204,3,1,3,1,1,31311,45
1314,NOLSM69315,3,1,3,1,1,31311,193
1315,NOLSM20120,3,1,3,1,1,31311,92
1316,NOLSM3711420,3,1,3,1,1,31311,95
1317,NOLSM6732525673,3,1,3,1,1,31311,84
1318,NOLSM7692913,3,1,3,1,1,31311,15
1319,NOLSM818318,3,1,3,1,1,31311,48
1320,NOLSM6682520668,3,1,3,2,2,31322,165
1321,NOLSM188726188,3,1,3,2,2,31322,163
1322,NOLSM6742526674,3,1,3,2,2,31322,66
1323,NOLSM4251620425,3,1,3,2,2,31322,148
1324,NOLSM4281623428,3,1,3,2,2,31322,98
1325,NOLSM6712523671,3,1,3,2,2,31322,492
1326,NOLSM4311626431,3,1,3,2,2,31322,49
1327,NOLSM182720182,3,1,3,2,2,31322,123
1328,NOLSM185723185,3,1,3,2,2,31322,78
1329,NOLSM4321627432,3,1,3,3,3,31333,152
1330,NOLSM542212,3,1,3,3,3,31333,111
1331,NOLSM14469,3,1,3,3,3,31333,70
1332,NOLSM244101,3,1,3,3,3,31333,97
1333,NOLSM491195,3,1,3,3,3,31333,48
1334,NOLSM6922617,3,1,3,3,3,31333,159
1335,NOLSM183721183,3,1,3,3,3,31333,112
1336,NOLSM6692521669,3,1,3,3,3,31333,114
1337,NOLSM3931515,3,1,3,3,3,31333,88
1338,NOLSM189727189,3,1,3,3,3,31333,187
1339,NOLSM4291624429,3,1,3,3,3,31333,70
1340,NOLSM6752527675,3,1,3,3,3,31333,138
1341,NOLSM19485,3,1,3,3,3,31333,53
1342,NOLSM4421710,3,1,3,3,3,31333,72
1343,NOLSM2941124,3,1,3,3,3,31333,118
1344,NOLSM842325,3,1,3,3,3,31333,57
1345,NOLSM45218,3,1,3,3,3,31333,62
1346,NOLSM5932226,3,1,3,3,3,31333,72
1347,NOLSM7432814,3,1,3,3,3,31333,81
1348,NOLSM6722524672,3,1,3,3,3,31333,42
1349,NOLSM792309,3,1,3,3,3,31333,72
1350,NOLSM93412,3,1,3,3,3,31333,140
1351,NOLSM6412420,3,1,3,3,3,31333,93
1352,NOLSM4261621426,3,1,3,3,3,31333,98
1353,NOLSM186724186,3,1,3,3,3,31333,71
1354,NOLSM3451321,3,1,3,3,3,31333,177
1355,NOLSM7192717,3,2,1,1,1,32111,54
1356,NOLSM568221,3,2,1,1,1,32111,93
1357,NOLSM682267682,3,2,1,1,1,32111,54
1358,NOLSM6202326,3,2,1,1,1,32111,51
1359,NOLSM439177439,3,2,1,1,1,32111,141
1360,NOLSM819319,3,2,1,1,1,32111,15
1361,NOLSM118510,3,2,1,1,1,32111,119
1362,NOLSM3721421,3,2,1,1,1,32111,184
1363,NOLSM7702914,3,2,1,1,1,32111,102
1364,NOLSM21121,3,2,1,1,1,32111,255
1365,NOLSM436174436,3,2,1,1,1,32111,71
1366,NOLSM467188,3,2,1,1,1,32111,9
