PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB563220,2008-08-01:22:21:58,불량,GL-D36-TM,T7,40.35,2518,28599,22810,3호기,1,1162,116,1124,98,320,1117,1033,미적용,6,1조
PB563221,2008-08-01:22:22:43,양품,GL-A32-TM,T0,40.35,3145,18691,37240,3호기,2,1161,100,1120,136,341,1107,894,적용,6,1조
PB563222,2008-08-01:22:21:01,양품,GL-A36-TM,T7,40.35,2511,22669,36060,1호기,1,1178,90,1127,138,333,1114,745,적용,6,3조
PB563223,2008-08-01:22:22:39,양품,PILAC-BT33,T5,40,2465,16911,26180,2호기,1,1165,112,1122,135,351,1113,910,적용,6,2조
PB563224,2008-08-01:22:22:14,양품,PILAC-BT33,T5,40,1800,18878,21340,2호기,2,1170,105,1117,135,344,1103,906,적용,6,1조
PB563225,2008-08-01:22:23:12,양품,PILAC-BT33,T5,50.45,1800,24871,35460,1호기,2,1169,111,1129,122,334,1118,891,적용,6,1조
PB563226,2008-08-01:22:24:07,양품,GL-D36-TM,T7,40.35,2518,28599,22810,3호기,1,1151,100,1128,128,339,1117,816,적용,6,2조
PB563227,2008-08-01:22:24:14,불량,NV-D36-TM,T7,40.35,2302,25536,18620,3호기,2,1161,105,1125,122,340,1118,820,적용,5,1조
PB563228,2008-08-01:22:24:55,양품,PILAC-BT33,T5,50.06,2480,10948,10670,1호기,1,1169,94,1127,160,362,1119,897,적용,6,3조
PB563229,2008-08-01:22:25:33,양품,PILAC-BT33,T5,50.06,2480,10948,10670,2호기,1,1164,149,1123,98,352,1116,888,적용,6,1조
PB563230,2008-08-01:22:25:51,양품,PILAC-BT33,T5,60.58,2305,12224,26800,2호기,2,1166,94,1121,156,355,1112,891,적용,6,2조
PB563231,2008-08-01:23:30:27,양품,BV-AH32-TM,T0,50.41,3065,12334,14960,1호기,1,1174,129,1137,113,354,1128,880,적용,6,2조
PB563232,2008-08-01:23:30:37,양품,NV-D32-TM,T0,40.34,2043,28904,37400,3호기,1,1135,106,1121,126,351,1114,887,적용,6,4조
PB563233,2008-08-01:23:30:33,양품,NV-D32-TM,T0,40.34,2043,28904,37400,3호기,2,1158,106,1124,124,351,1115,891,적용,6,2조
PB563234,2008-08-01:23:31:55,양품,PILAC-BT33,T5,40.35,2531,21641,34700,1호기,2,1148,97,1125,157,362,1118,908,적용,6,3조
PB563235,2008-08-01:23:31:38,양품,PILAC-BT33,T5,50.45,1800,22178,31620,2호기,1,1158,156,1122,96,355,1114,901,적용,6,4조
PB563236,2008-08-01:23:31:00,양품,PILAC-BT33,T5,50,2610,13158,13480,2호기,2,1164,120,1122,119,360,1110,901,적용,6,4조
PB563237,2008-08-01:23:32:13,양품,PILAC-BT33,T5,50,2610,13070,13390,1호기,1,1152,158,1134,78,364,1122,900,적용,6,2조
PB563238,2008-08-01:23:32:21,양품,NV-A32-TM,T0,40.35,2772,25978,45620,3호기,1,1120,109,1116,117,361,1105,894,적용,6,4조
PB563239,2008-08-01:23:32:45,양품,PILAC-BT33,T5,50.45,1800,25937,36980,3호기,2,1151,112,1125,116,361,1113,894,적용,6,4조
PB563240,2008-08-01:23:33:38,양품,PILAC-BT33,T5,50.06,2370,14838,13820,1호기,2,1153,134,1126,116,364,1118,897,적용,6,3조
PB563241,2008-08-01:23:33:56,양품,PILAC-BT33,T5,55.02,3055,13429,17720,2호기,1,1150,133,1120,113,371,1107,892,적용,6,1조
PB563242,2008-08-01:23:33:19,불량,PILAC-BT33,T5,55.02,3055,13429,17720,2호기,2,1151,136,1122,109,357,1116,892,미적용,6,3조
PB563243,2008-08-01:23:34:47,양품,PILAC-BT33,T5,55.02,3055,13429,17720,1호기,1,1144,165,1131,52,355,1120,896,적용,6,1조
PB563244,2008-08-01:23:34:25,양품,BV-AH32-TM,T0,40.35,3080,18563,36220,3호기,1,1109,126,1116,80,362,1107,899,적용,6,4조
PB563245,2008-08-01:23:35:30,양품,PILAC-BT33,T5,50,2610,17590,36040,3호기,2,1141,140,1127,84,363,1117,896,적용,6,4조
PB563246,2008-08-01:23:35:04,양품,PILAC-BT33,T5,60.18,2480,13255,31060,1호기,2,1137,125,1123,120,372,1110,893,적용,6,3조
PB563247,2008-08-01:23:35:39,양품,PILAC-BT33,T5,60.18,2480,13255,31060,2호기,1,1142,156,1120,85,370,1107,894,적용,6,4조
PB563248,2008-08-01:23:35:07,양품,PILAC-BT33,T5,60.57,2065,12293,12070,2호기,2,1143,155,1122,87,371,1109,901,적용,6,1조
PB563249,2008-08-02:00:00:51,양품,PILAC-BT33,T5,70.1,2280,15860,19900,1호기,1,1140,163,1125,69,366,1113,869,적용,6,1조
PB563250,2008-08-02:00:00:11,양품,PILAC-BT33,T5,70.1,2150,15340,18150,3호기,1,1108,138,1117,78,362,1102,876,적용,6,3조
PB563251,2008-08-02:00:00:42,양품,PILAC-BT33,T5,70.1,2150,13726,16240,1호기,2,1135,140,1123,93,369,1110,870,적용,6,2조
PB563252,2008-08-02:00:01:52,양품,PILAC-BT33,T5,70.1,2150,13726,16240,2호기,1,1137,141,1121,74,376,1111,876,적용,6,2조
PB563253,2008-08-02:00:01:23,양품,PILAC-BT33,T5,70.1,2280,15860,19900,3호기,2,1138,148,1126,80,375,1119,877,적용,6,2조
PB563254,2008-08-02:00:01:24,양품,PILAC-BT33,T5,70.1,2280,15860,19900,1호기,1,1134,117,1123,75,376,1116,881,적용,6,4조
PB563255,2008-08-02:00:02:45,양품,PILAC-BT33,T5,70.1,2280,15860,19900,1호기,2,1142,161,1128,66,366,1116,869,적용,6,1조
PB563256,2008-08-02:00:02:24,양품,PILAC-BT33,T5,75.16,2280,15373,20680,2호기,1,1139,120,1123,65,372,1114,876,적용,6,3조
PB563257,2008-08-02:00:02:51,양품,PILAC-BT33,T5,75.16,2280,15373,20680,3호기,1,1117,131,1119,77,364,1114,876,적용,6,1조
PB563258,2008-08-02:00:03:12,양품,PILAC-BT33,T5,75.16,2280,15373,20680,3호기,2,1141,130,1128,76,379,1123,876,적용,6,4조
PB563259,2008-08-02:00:03:56,양품,PILAC-BT33,T5,75.16,2280,15373,20680,1호기,1,1138,122,1125,66,377,1113,877,적용,6,4조
PB563260,2008-08-02:00:03:21,양품,PILAC-BT33,T5,75.16,2280,15373,20680,1호기,2,1135,146,1126,77,365,1121,878,적용,6,4조
